1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
920,866.0,3.0,2,486,0,434,608,0,2001.0,1786,0,11250,68.0,162.0,42,5,7,920,2001,2002,223500
1053,0.0,3.0,0,0,2,1053,648,0,2003.0,1992,0,9375,75.0,768.0,45,5,8,1053,2003,2004,250000
988,0.0,3.0,0,827,3,161,572,1,1963.0,988,1,9945,69.0,57.0,0,5,5,988,1961,1961,128500
845,0.0,2.0,0,565,1,280,360,1,1987.0,845,1,7599,69.0,0.0,0,6,4,845,1982,2006,129500
1234,1140.0,4.0,0,0,2,1181,656,2,2003.0,2374,2,11999,93.0,340.0,100,5,8,1181,2003,2004,285000
1724,0.0,3.0,3,528,1,1152,480,0,1967.0,1724,1,17871,69.0,359.0,0,5,6,1680,1967,1976,197900
1358,0.0,2.0,3,720,0,638,484,0,2004.0,1358,0,8198,59.0,146.0,30,5,7,1358,2004,2004,207000
1302,0.0,3.0,3,0,2,1302,436,2,2007.0,1302,0,8993,73.0,0.0,22,5,7,1302,2007,2007,176485
1501,0.0,3.0,1,679,0,811,577,0,1999.0,1501,0,10335,78.0,183.0,29,5,7,1490,1999,1999,204000
1687,998.0,5.0,0,523,0,301,672,2,1970.0,3082,1,15863,102.0,0.0,63,3,7,824,1920,1970,197000
1240,0.0,2.0,3,0,2,1240,826,0,2006.0,1240,0,8556,74.0,0.0,93,5,7,1240,2006,2006,194000
1442,0.0,3.0,2,738,0,172,719,2,1990.0,1442,0,10357,114.0,0.0,244,5,7,910,1990,1991,179900
1468,0.0,3.0,0,0,2,1468,898,2,2008.0,1468,0,9612,74.0,72.0,150,5,8,1468,2008,2009,244600
1080,672.0,4.0,3,427,0,132,492,0,1988.0,1752,1,12134,152.0,0.0,12,7,8,559,1988,2005,164000
788,0.0,2.0,0,266,3,522,0,1,1980.0,788,1,7446,69.0,0.0,0,5,4,788,1941,1950,100000
923,0.0,2.0,0,543,4,261,264,0,1980.0,923,1,8012,50.0,0.0,0,5,6,923,1980,1980,143000
773,582.0,3.0,0,0,2,684,0,1,1980.0,1355,0,6882,60.0,0.0,0,7,6,684,1914,2006,127000
1200,0.0,3.0,1,1200,0,0,0,1,1980.0,1200,1,10800,60.0,0.0,0,5,5,1200,1987,1988,179000
1432,0.0,2.0,1,680,1,289,588,1,1978.0,1432,0,16157,69.0,0.0,180,7,5,1360,1978,1978,194000
1125,0.0,3.0,3,631,1,410,352,1,1977.0,1125,1,7200,72.0,255.0,0,6,6,1041,1976,1976,125000
848,0.0,1.0,3,685,0,163,420,2,2003.0,848,0,4435,69.0,170.0,0,5,6,848,2003,2004,144000
680,790.0,3.0,0,310,2,370,420,2,1993.0,1470,1,9765,69.0,68.0,63,8,6,680,1993,1993,185000
1040,0.0,2.0,0,0,2,0,625,1,1950.0,1040,1,7200,60.0,0.0,0,7,5,0,1950,1950,109500
856,854.0,3.0,0,706,0,150,548,0,2003.0,1710,0,8450,65.0,196.0,61,5,7,856,2003,2003,208500
914,0.0,2.0,3,298,0,572,576,1,1998.0,914,1,8846,57.0,0.0,0,5,5,870,1996,1996,148000
1075,1063.0,2.0,0,0,2,849,360,1,1910.0,2138,1,8100,90.0,0.0,156,5,5,849,1898,1965,106000
658,526.0,5.0,0,0,2,658,0,1,1980.0,1184,1,8410,58.0,0.0,151,3,5,658,1910,1996,81000
892,892.0,4.0,2,0,2,747,180,1,1914.0,1784,1,13132,96.0,0.0,40,5,5,747,1914,1950,138887
1824,0.0,2.0,1,1219,0,424,739,1,1971.0,1824,0,115149,69.0,351.0,48,5,7,1643,1971,2002,302000
953,694.0,3.0,0,0,2,953,460,0,1999.0,1647,1,7917,62.0,0.0,40,5,6,953,1999,2000,175000
1112,0.0,3.0,0,120,4,736,271,1,1950.0,1668,1,9600,80.0,0.0,0,8,6,856,1950,2005,140000
1247,0.0,1.0,0,1039,0,208,550,2,2005.0,1247,0,3316,37.0,0.0,84,5,8,1247,2005,2005,197000
884,0.0,2.0,3,747,1,0,504,0,1983.0,884,0,9180,69.0,0.0,0,7,5,840,1983,1983,144000
672,0.0,2.0,0,0,2,672,240,1,1940.0,672,1,10200,60.0,0.0,0,8,5,672,1940,1997,108000
1056,0.0,3.0,0,1056,3,0,384,1,1966.0,1056,1,8900,69.0,0.0,42,4,4,1056,1966,1966,107000
1180,0.0,2.0,0,0,2,700,252,1,1922.0,1180,3,11600,80.0,0.0,0,5,4,700,1922,1950,137500
1456,0.0,2.0,1,0,2,1273,400,2,2003.0,1456,0,3196,69.0,40.0,20,5,8,1273,2003,2003,215000
1041,702.0,3.0,0,384,1,143,539,1,1968.0,1743,1,11700,90.0,365.0,0,6,6,702,1968,1968,175000
896,448.0,3.0,0,0,2,896,240,1,1936.0,1344,1,6240,69.0,0.0,114,4,5,896,1936,1950,115000
708,0.0,2.0,0,280,5,140,0,1,1980.0,708,3,5330,50.0,0.0,0,7,4,420,1940,1950,82500
923,0.0,3.0,0,658,1,218,264,1,1984.0,923,1,6951,37.0,0.0,0,5,5,876,1984,1985,119500
1405,0.0,2.0,0,0,2,1405,478,0,2003.0,1405,0,3136,69.0,163.0,36,5,7,1405,2003,2003,171750
1468,795.0,3.0,0,795,1,0,539,2,1977.0,2263,0,16659,69.0,34.0,250,7,7,795,1977,1994,235000
880,888.0,2.0,2,390,2,490,320,1,1914.0,1768,1,10800,60.0,0.0,341,7,7,880,1914,1970,163000
