1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
847,1112.0,4.0,3,0,2,847,434,2,2004.0,1959,0,11796,59.0,0.0,48,5,7,847,2004,2005,215000
1088,441.0,4.0,0,0,2,0,240,1,1945.0,1529,1,8405,50.0,0.0,0,3,4,0,1945,1950,98000
1422,1177.0,4.0,0,0,2,1393,779,2,1999.0,2599,0,14774,108.0,165.0,30,5,9,1393,1999,1999,333168
1657,0.0,3.0,0,1237,5,420,484,1,1970.0,1657,1,12155,69.0,0.0,0,3,6,1657,1970,1970,163500
770,812.0,3.0,0,490,0,280,520,0,2004.0,1582,0,8320,64.0,0.0,45,5,7,770,2004,2004,185900
1144,0.0,3.0,0,594,4,270,264,0,1961.0,1144,1,10000,80.0,0.0,0,6,5,864,1961,1983,131400
1375,0.0,2.0,0,0,2,1367,451,1,1954.0,1375,1,11310,75.0,0.0,30,5,6,1367,1954,1954,140000
626,591.0,3.0,0,0,2,626,288,0,1980.0,1217,1,10762,75.0,0.0,28,6,6,626,1980,1980,120000
1734,0.0,3.0,0,1004,0,730,928,1,2007.0,1734,2,12085,93.0,328.0,0,5,8,1734,2007,2007,318000
1252,668.0,4.0,0,57,1,554,451,1,1958.0,1920,0,13650,69.0,0.0,0,5,5,1052,1958,1958,172500
1361,1259.0,4.0,0,498,0,652,600,0,1977.0,2620,1,18890,69.0,1.0,24,5,5,1361,1977,1977,190000
841,0.0,2.0,0,0,2,721,294,1,1950.0,841,1,8400,60.0,0.0,0,4,4,721,1950,1950,82000
864,0.0,2.0,0,120,5,744,400,1,1951.0,864,1,19138,140.0,0.0,0,5,4,864,1951,1951,141000
848,0.0,2.0,0,152,4,628,539,1,1962.0,1208,1,6240,52.0,0.0,23,5,4,780,1925,1950,103000
894,0.0,2.0,3,777,3,117,600,0,1985.0,894,1,7200,60.0,0.0,0,5,5,894,1972,1972,123000
1190,0.0,3.0,3,803,1,303,540,1,1962.0,1190,1,7728,70.0,120.0,18,6,5,1106,1962,1962,132500
960,0.0,3.0,0,520,3,440,432,2,1965.0,960,1,10921,73.0,48.0,0,5,4,960,1965,1965,94750
1069,0.0,2.0,0,360,1,709,440,0,1977.0,1069,1,4043,53.0,0.0,55,5,6,1069,1977,1977,127500
983,767.0,4.0,2,660,1,323,423,1,1989.0,1750,1,12508,75.0,0.0,0,7,6,983,1940,1985,160000
1103,0.0,2.0,0,397,4,706,440,1,1976.0,1103,0,6000,50.0,0.0,120,6,6,1103,1925,1980,110500
936,785.0,3.0,0,814,0,114,471,1,1994.0,1721,0,8462,70.0,105.0,87,5,6,928,1994,1994,201000
1530,0.0,3.0,3,1274,1,256,430,2,2005.0,1530,0,16158,124.0,16.0,36,5,7,1530,2005,2005,260000
976,1111.0,5.0,1,568,5,264,444,2,1966.0,2087,0,12205,69.0,157.0,168,8,6,832,1966,2007,187500
734,1104.0,4.0,3,0,2,732,372,2,2005.0,1838,1,21930,60.0,0.0,40,5,5,732,2005,2005,192140
816,0.0,2.0,0,816,2,0,816,2,1985.0,816,1,6600,60.0,0.0,0,8,5,816,1982,2003,138000
1152,0.0,3.0,0,0,2,0,0,1,1980.0,1152,3,6040,65.0,0.0,0,5,4,0,1955,1955,82000
1134,924.0,3.0,0,319,3,416,396,1,1950.0,2058,1,9600,60.0,0.0,0,5,6,735,1917,1950,129500
1337,0.0,2.0,0,266,0,1139,511,2,1998.0,1337,0,4060,34.0,0.0,68,5,6,1405,1998,1999,181000
